id	region	mutation	class	equiv	rip	deep	directed	diverged_state	note
952	mover	const0 A[12]	GAP	not_proven	internal_only	survived	killed	route_remaining_2:5	ROUTE word count of source engine 2 truncated below 4096 (bit 12 forced 0). Kill: ROUTE count 4097 from engine 2 and stream more than 1 word; the mutant disables the route after 1 word.
979	mover	const1 A[0]	GAP	not_proven	internal_only	survived	survived	dma_round_robin:293756	DMA round-robin cursor bit 0 forced to 1 on its hold path (differs in 293,756 cycles). Only matters when two routes compete on the same edge. Kill: two enabled routes whose sources both hold a word and whose destinations accept on the same edge; check grant order.
989	mover	cnot1 Y[3] ctrl 5	GAP	not_proven	not_activated	survived	survived		route_remaining of source engine 0: bit 3 flips when bit 5 is set. Kill: ROUTE count >= 32 from engine 0 and transfer until the descriptor expires; the number of words moved changes.
1008	mover	const0 A[0]	GAP	not_proven	not_activated	survived	survived		Host TX write priority over DMA for route 0's destination is lost (grant not inhibited). Kill: host window-2 write to engine D on the same edge as a DMA word from route source 0 to D.
1040	mover	const0 B[0]	EQ-proven	equivalent	not_activated	survived	survived		No-op: the reset value of route_destination_3 is the constant 2'b00, whose bit 0 is already 0.
1112	mover	const0 A[0]	GAP	not_proven	not_activated	killed	survived		Mover destination-3 decode. Killed by the deep random stage (256 cases from a new seed): the 64-case default budget is too small.
1152	mover	const0 Y[0]	GAP	not_proven	not_activated	survived	killed		FLUSH no longer disables route 1 when the flushed engine is its source or destination. Kill: enable route 1->D, FLUSH engine 1 (or D) while halted, then check no DMA word moves.
1222	events	cnot1 A[2] ctrl 4	EQ-proven	equivalent	not_activated	survived	survived		Compare-with-zero in the trigger/event path: bit 2 flips only when bit 4 is set, and the value is nonzero either way.
1317	events	cnot1 A[0] ctrl 6	EQ-proven	equivalent	not_activated	survived	survived		Compare-with-zero in the trigger/event path: bit 0 flips only when bit 6 is set, and the value is nonzero either way.
1342	events	const1 A[4]	EQ-proven	equivalent	not_activated	survived	survived		Case-item compare (item 29) in engine 1's opcode-validity decode; proved by equiv_induct.
1345	events	const1 B[2]	EQ-proven	equivalent	not_activated	survived	survived		No-op: the bound is the constant 4, whose bit 2 is already 1.
1356	events	cnot1 Y[3] ctrl 0	GAP	not_proven	internal_only	killed	survived	logical_output_2:8461	Ownership-masked pin decode on engine 0's event path; in the suite it changed logical_output_2 for 8,461 cycles without reaching a pin. Killed by the deep random stage.
1371	events	const0 B[2]	EQ-proven	equivalent	not_activated	survived	survived		No-op: case-item constant 11 (LOOP) in engine 1's validity decode already has bit 2 = 0.
1416	events	const1 Y[0]	GAP	not_proven	not_activated	survived	killed		Engine 1 operand check bc_zero forced true: PUSH/NOT/TIME with nonzero b or c fields are executed instead of faulting with code 1. Kill: engine 1 runs e.g. TIME x with c != 0 and must fault 1.
1521	pins	cnot1 B[4] ctrl 3	GAP	not_proven	internal_only	survived	survived	logical_output_2:5155	logical_output_2 (engine 0) XFER data-pin update: when the data pin is 3 and the bit is 1, bit 4 also toggles (differs 5,155 cycles). Kill: XFER on engine 0 with data on pin 3 while engine 0 owns and drives pin 4.
1577	pins	inv A[3]	EQ-manual	not_proven	internal_only	survived	survived	logical_enable:114442	logical_enable (engine 3) bit 3 toggles on the hold path, which is only used while the engine is inactive; its pins are masked by run/fault then, and START/STOP zero the register (differs 114,442 cycles, never visible).
1634	pins	inv A[7]	EQ-manual	not_proven	internal_only	survived	survived	logical_enable_2:97191	Same as 1577 for logical_enable_2 (engine 0) bit 7.
1694	pins	cnot1 B[0] ctrl 1	GAP	not_proven	not_activated	killed	survived		logical_output_0 (engine 2) XFER output update corrupts pin 0 (clears it, or keeps it when the data pin is 0). Kill: SPI-style XFER with drive on engine 2 while engine 2 also owns and drives pin 0. Killed by the deep random stage.
1753	engine_xfer	cnot1 Y[5] ctrl 7	GAP	not_proven	not_activated	survived	killed		transfer_period (engine 2): during a transfer the period register alternates between b and b^32 every cycle when bit 7 is set; half-periods >= 128 are never used. Kill: XFER with an odd half-period >= 128 (201) on an owned, enabled clock pin; with an even period every reload lands on the same phase.
1761	engine_xfer	const0 A[2]	EQ-manual	not_proven	internal_only	survived	survived	transfer_tick_2:4581	transfer_tick_2 (engine 0) bit 2 cleared on the hold path while the engine is inactive; a transfer only runs while active, STOP zeroes transfer_edges and START zeroes the tick.
1943	engine_xfer	cnot1 Y[0] ctrl 3	EQ-proven	equivalent	not_activated	survived	survived		transfer_edges_2 update path; proved by equiv_induct.
1978	imem	const1 Q[1]	EQ-manual	not_proven	internal_only	survived	survived	_1623:282346	Bit 1 of the host write-nibble shift register stuck at 1. The assembled word is {new nibble, reg[31:4]}, so reg[3:0] is shifted out and never read (differs 282,346 cycles, never visible).
2121	fifo	cnot1 A[3] ctrl 15	GAP	not_proven	internal_only	survived	survived	_7456[6]:12065,_7456[4]:10013,_7456[2]:3225,_5841[1]:1277	DMA word data: bit 3 flips when bit 15 is set, corrupting routed words in the destination TX FIFO (FIFO words differ). Kill: route words with bit 15 set and have the destination engine PULL and transmit them on an owned pin, or route them back to an RX FIFO the host reads.
2147	fifo	const1 B[0]	EQ-proven	equivalent	not_activated	survived	survived		FIFO pointer update enable: forcing one AND operand to 1 is harmless because the other operand implies it; proved by equiv_induct.
2245	engine_data	inv A[3]	EQ-manual	not_proven	internal_only	survived	survived	x_2:97224	x_2 (engine 0) bit 3 toggles on the hold path while inactive; x is not host-readable and START resets it.
2279	engine_data	const0 B[15]	GAP	not_proven	not_activated	survived	killed		SHR result written to rx_0 (engine 1): bit 15 forced 0. Kill: rx = 0x80000000 (LOAD 1, SHL 31), SHR 16, PUSH; the host reads 0x8000.
2313	engine_data	cnot1 A[1] ctrl 0	EQ-proven	equivalent	not_activated	survived	survived		Compare of engine 3's 2-bit register select with 0: bit 1 flips only when bit 0 is set, and the value is nonzero either way.
2344	engine_data	const0 A[6]	EQ-manual	not_proven	internal_only	survived	survived	tx_0:13210	tx_0 (engine 1) bit 6 cleared on the hold path while inactive; tx is not host-readable and START resets it.
